diseases,sintomas,texto
diverticulosis,"['heartburn', 'sharp abdominal pain', 'nausea', 'upper abdominal pain', 'melena', 'blood in stool', 'rectal bleeding', 'diarrhea', 'vomiting', 'lower abdominal pain']","
    Diverticulosis is a condition that may present symptoms such as heartburn, sharp abdominal pain, nausea, upper abdominal pain, melena, blood in stool, rectal bleeding, diarrhea, vomiting, lower abdominal pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
down syndrome,"['nasal congestion', 'difficulty speaking', 'seizures', 'decreased appetite', 'cough', 'lack of growth']","
    Down syndrome is a condition that may present symptoms such as nasal congestion, difficulty speaking, seizures, decreased appetite, cough, lack of growth.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
drug abuse,"['depression', 'sweating', 'anxiety and nervousness', 'depressive or psychotic symptoms', 'hostile behavior', 'drug abuse', 'delusions or hallucinations', 'smoking problems', 'abusing alcohol', 'antisocial behavior']","
    Drug abuse is a condition that may present symptoms such as depression, sweating, anxiety and nervousness, depressive or psychotic symptoms, hostile behavior, drug abuse, delusions or hallucinations, smoking problems, abusing alcohol, antisocial behavior.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
drug abuse (barbiturates),"['depression', 'abnormal involuntary movements', 'anxiety and nervousness', 'hostile behavior', 'drug abuse', 'delusions or hallucinations']","
    Drug abuse (barbiturates) is a condition that may present symptoms such as depression, abnormal involuntary movements, anxiety and nervousness, hostile behavior, drug abuse, delusions or hallucinations.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
drug abuse (cocaine),"['depression', 'sharp chest pain', 'fears and phobias', 'excessive anger', 'depressive or psychotic symptoms', 'hostile behavior', 'drug abuse', 'delusions or hallucinations', 'abusing alcohol']","
    Drug abuse (cocaine) is a condition that may present symptoms such as depression, sharp chest pain, fears and phobias, excessive anger, depressive or psychotic symptoms, hostile behavior, drug abuse, delusions or hallucinations, abusing alcohol.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
drug abuse (methamphetamine),"['shortness of breath', 'anxiety and nervousness', 'depressive or psychotic symptoms', 'hostile behavior', 'drug abuse', 'feeling ill', 'abusing alcohol', 'palpitations']","
    Drug abuse (methamphetamine) is a condition that may present symptoms such as shortness of breath, anxiety and nervousness, depressive or psychotic symptoms, hostile behavior, drug abuse, feeling ill, abusing alcohol, palpitations.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
drug abuse (opioids),"['depression', 'abusing alcohol', 'insomnia', 'anxiety and nervousness', 'excessive anger', 'depressive or psychotic symptoms', 'temper problems', 'drug abuse', 'delusions or hallucinations', 'restlessness']","
    Drug abuse (opioids) is a condition that may present symptoms such as depression, abusing alcohol, insomnia, anxiety and nervousness, excessive anger, depressive or psychotic symptoms, temper problems, drug abuse, delusions or hallucinations, restlessness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
drug poisoning due to medication,"['depression', 'depressive or psychotic symptoms', 'drug abuse', 'slurring words', 'abusing alcohol', 'sleepiness', 'lip swelling']","
    Drug poisoning due to medication is a condition that may present symptoms such as depression, depressive or psychotic symptoms, drug abuse, slurring words, abusing alcohol, sleepiness, lip swelling.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
drug reaction,"['itching of skin', 'shortness of breath', 'throat swelling', 'abnormal appearing skin', 'nausea', 'peripheral edema', 'headache', 'vomiting', 'dizziness', 'skin rash', 'allergic reaction']","
    Drug reaction is a condition that may present symptoms such as itching of skin, shortness of breath, throat swelling, abnormal appearing skin, nausea, peripheral edema, headache, vomiting, dizziness, skin rash, allergic reaction.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
drug withdrawal,"['depression', 'sharp abdominal pain', 'anxiety and nervousness', 'nausea', 'chills', 'vomiting', 'dizziness']","
    Drug withdrawal is a condition that may present symptoms such as depression, sharp abdominal pain, anxiety and nervousness, nausea, chills, vomiting, dizziness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
dry eye of unknown cause,"['eye redness', 'double vision', 'diminished vision', 'abnormal movement of eyelid', 'lacrimation', 'foreign body sensation in eye', 'white discharge from eye', 'itchiness of eye', 'spots or clouds in vision', 'pain in eye', 'symptoms of eye']","
    Dry eye of unknown cause is a condition that may present symptoms such as eye redness, double vision, diminished vision, abnormal movement of eyelid, lacrimation, foreign body sensation in eye, white discharge from eye, itchiness of eye, spots or clouds in vision, pain in eye, symptoms of eye.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
dumping syndrome,"['knee lump or mass', 'vomiting', 'nausea']","
    Dumping syndrome is a condition that may present symptoms such as knee lump or mass, vomiting, nausea.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
dyshidrosis,"['acne or pimples', 'abnormal appearing skin', 'skin lesion', 'frequent urination', 'skin rash']","
    Dyshidrosis is a condition that may present symptoms such as acne or pimples, abnormal appearing skin, skin lesion, frequent urination, skin rash.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
dysthymic disorder,"['depression', 'loss of sex drive', 'insomnia', 'anxiety and nervousness', 'excessive anger', 'temper problems', 'depressive or psychotic symptoms', 'slurring words', 'disturbance of memory']","
    Dysthymic disorder is a condition that may present symptoms such as depression, loss of sex drive, insomnia, anxiety and nervousness, excessive anger, temper problems, depressive or psychotic symptoms, slurring words, disturbance of memory.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
ear drum damage,"['nasal congestion', 'pulling at ears', 'cough', 'ear pain', 'fluid in ear', 'redness in ear', 'diminished hearing', 'pus draining from ear', 'ringing in ear', 'bleeding from ear', 'plugged feeling in ear']","
    Ear drum damage is a condition that may present symptoms such as nasal congestion, pulling at ears, cough, ear pain, fluid in ear, redness in ear, diminished hearing, pus draining from ear, ringing in ear, bleeding from ear, plugged feeling in ear.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
ear wax impaction,"['nasal congestion', 'pulling at ears', 'cough', 'ear pain', 'fluid in ear', 'sinus congestion', 'diminished hearing', 'plugged feeling in ear', 'ringing in ear', 'fever']","
    Ear wax impaction is a condition that may present symptoms such as nasal congestion, pulling at ears, cough, ear pain, fluid in ear, sinus congestion, diminished hearing, plugged feeling in ear, ringing in ear, fever.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
eating disorder,"['depression', 'decreased appetite', 'acne or pimples', 'insomnia', 'difficulty eating', 'anxiety and nervousness', 'depressive or psychotic symptoms', 'weight gain', 'abusing alcohol']","
    Eating disorder is a condition that may present symptoms such as depression, decreased appetite, acne or pimples, insomnia, difficulty eating, anxiety and nervousness, depressive or psychotic symptoms, weight gain, abusing alcohol.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
ectopic pregnancy,"['sharp abdominal pain', 'pelvic pain', 'vaginal discharge', 'intermenstrual bleeding', 'pain during pregnancy', 'nausea', 'dizziness', 'lower abdominal pain']","
    Ectopic pregnancy is a condition that may present symptoms such as sharp abdominal pain, pelvic pain, vaginal discharge, intermenstrual bleeding, pain during pregnancy, nausea, dizziness, lower abdominal pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
ectropion,"['eye redness', 'lacrimation', 'white discharge from eye', 'pain in eye', 'symptoms of eye']","
    Ectropion is a condition that may present symptoms such as eye redness, lacrimation, white discharge from eye, pain in eye, symptoms of eye.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
eczema,"['warts', 'acne or pimples', 'cough', 'itching of skin', 'abnormal appearing skin', 'skin lesion', 'skin dryness, peeling, scaliness, or roughness', 'skin irritation', 'irregular appearing scalp', 'skin swelling', 'skin rash', 'allergic reaction']","
    Eczema is a condition that may present symptoms such as warts, acne or pimples, cough, itching of skin, abnormal appearing skin, skin lesion, skin dryness, peeling, scaliness, or roughness, skin irritation, irregular appearing scalp, skin swelling, skin rash, allergic reaction.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
edward syndrome,"['suprapubic pain', 'cross-eyed']","
    Edward syndrome is a condition that may present symptoms such as suprapubic pain, cross-eyed.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
emphysema,"['shortness of breath', 'emotional symptoms', 'cough', 'sharp chest pain']","
    Emphysema is a condition that may present symptoms such as shortness of breath, emotional symptoms, cough, sharp chest pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
empyema,"['shortness of breath', 'leg pain', 'cough', 'sharp chest pain']","
    Empyema is a condition that may present symptoms such as shortness of breath, leg pain, cough, sharp chest pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
encephalitis,"['insomnia', 'loss of sensation', 'headache', 'disturbance of memory', 'dizziness']","
    Encephalitis is a condition that may present symptoms such as insomnia, loss of sensation, headache, disturbance of memory, dizziness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
endocarditis,"['sharp chest pain', 'shortness of breath', 'palpitations', 'irregular heartbeat', 'increased heart rate', 'dizziness']","
    Endocarditis is a condition that may present symptoms such as sharp chest pain, shortness of breath, palpitations, irregular heartbeat, increased heart rate, dizziness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
endometrial cancer,"['intermenstrual bleeding', 'absence of menstruation', 'vaginal itching', 'hot flashes', 'vaginal bleeding after menopause']","
    Endometrial cancer is a condition that may present symptoms such as intermenstrual bleeding, absence of menstruation, vaginal itching, hot flashes, vaginal bleeding after menopause.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
endometrial hyperplasia,"['involuntary urination', 'heavy menstrual flow', 'unpredictable menstruation', 'back weakness', 'vaginal bleeding after menopause']","
    Endometrial hyperplasia is a condition that may present symptoms such as involuntary urination, heavy menstrual flow, unpredictable menstruation, back weakness, vaginal bleeding after menopause.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
endometriosis,"['sharp abdominal pain', 'pelvic pain', 'heavy menstrual flow', 'intermenstrual bleeding', 'infertility', 'hot flashes', 'burning abdominal pain', 'painful menstruation', 'lower abdominal pain']","
    Endometriosis is a condition that may present symptoms such as sharp abdominal pain, pelvic pain, heavy menstrual flow, intermenstrual bleeding, infertility, hot flashes, burning abdominal pain, painful menstruation, lower abdominal pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
endophthalmitis,"['eye redness', 'swollen eye', 'diminished vision', 'painful urination', 'itchiness of eye', 'pain in eye']","
    Endophthalmitis is a condition that may present symptoms such as eye redness, swollen eye, diminished vision, painful urination, itchiness of eye, pain in eye.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
envenomation from spider or animal bite,"['hand or finger swelling', 'itching of skin', 'paresthesia', 'abnormal appearing skin', 'foot or toe swelling', 'arm swelling', 'fluid retention', 'skin swelling', 'allergic reaction']","
    Envenomation from spider or animal bite is a condition that may present symptoms such as hand or finger swelling, itching of skin, paresthesia, abnormal appearing skin, foot or toe swelling, arm swelling, fluid retention, skin swelling, allergic reaction.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
ependymoma,"['emotional symptoms', 'pain in eye', 'headache', 'diminished vision']","
    Ependymoma is a condition that may present symptoms such as emotional symptoms, pain in eye, headache, diminished vision.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
epididymitis,"['sharp abdominal pain', 'groin pain', 'painful urination', 'pain in testicles', 'swelling of scrotum', 'lower body pain', 'mass in scrotum', 'side pain', 'retention of urine']","
    Epididymitis is a condition that may present symptoms such as sharp abdominal pain, groin pain, painful urination, pain in testicles, swelling of scrotum, lower body pain, mass in scrotum, side pain, retention of urine.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
epidural hemorrhage,"['depressive or psychotic symptoms', 'emotional symptoms', 'dizziness']","
    Epidural hemorrhage is a condition that may present symptoms such as depressive or psychotic symptoms, emotional symptoms, dizziness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
epilepsy,"['seizures', 'difficulty speaking', 'lack of growth', 'abnormal involuntary movements', 'headache', 'disturbance of memory', 'muscle weakness']","
    Epilepsy is a condition that may present symptoms such as seizures, difficulty speaking, lack of growth, abnormal involuntary movements, headache, disturbance of memory, muscle weakness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
erectile dysfunction,"['loss of sex drive', 'involuntary urination', 'excessive urination at night', 'symptoms of prostate', 'blood in urine', 'pain in testicles', 'impotence', 'pain during intercourse', 'frequent urination', 'retention of urine']","
    Erectile dysfunction is a condition that may present symptoms such as loss of sex drive, involuntary urination, excessive urination at night, symptoms of prostate, blood in urine, pain in testicles, impotence, pain during intercourse, frequent urination, retention of urine.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
erythema multiforme,"['mouth ulcer', 'skin rash', 'vomiting', 'difficulty in swallowing', 'fever']","
    Erythema multiforme is a condition that may present symptoms such as mouth ulcer, skin rash, vomiting, difficulty in swallowing, fever.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
esophageal cancer,"['sharp abdominal pain', 'decreased appetite', 'shortness of breath', 'stomach bloating', 'hoarse voice']","
    Esophageal cancer is a condition that may present symptoms such as sharp abdominal pain, decreased appetite, shortness of breath, stomach bloating, hoarse voice.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
esophageal varices,"['dizziness', 'nausea']","
    Esophageal varices is a condition that may present symptoms such as dizziness, nausea.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
esophagitis,"['heartburn', 'sharp abdominal pain', 'cough', 'sharp chest pain', 'shortness of breath', 'nausea', 'sore throat', 'chest tightness', 'burning abdominal pain', 'upper abdominal pain', 'vomiting', 'difficulty in swallowing']","
    Esophagitis is a condition that may present symptoms such as heartburn, sharp abdominal pain, cough, sharp chest pain, shortness of breath, nausea, sore throat, chest tightness, burning abdominal pain, upper abdominal pain, vomiting, difficulty in swallowing.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
essential tremor,"['loss of sensation', 'abnormal involuntary movements', 'problems with movement', 'muscle pain', 'hoarse voice', 'disturbance of memory', 'dizziness']","
    Essential tremor is a condition that may present symptoms such as loss of sensation, abnormal involuntary movements, problems with movement, muscle pain, hoarse voice, disturbance of memory, dizziness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
eustachian tube dysfunction (ear disorder),"['nasal congestion', 'swollen or red tonsils', 'ear pain', 'abnormal breathing sounds', 'sore throat', 'redness in ear', 'diminished hearing', 'ringing in ear', 'dizziness', 'plugged feeling in ear', 'allergic reaction']","
    Eustachian tube dysfunction (ear disorder) is a condition that may present symptoms such as nasal congestion, swollen or red tonsils, ear pain, abnormal breathing sounds, sore throat, redness in ear, diminished hearing, ringing in ear, dizziness, plugged feeling in ear, allergic reaction.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
extrapyramidal effect of drugs,"['seizures', 'abnormal involuntary movements', 'anxiety and nervousness', 'headache', 'arm stiffness or tightness', 'restlessness']","
    Extrapyramidal effect of drugs is a condition that may present symptoms such as seizures, abnormal involuntary movements, anxiety and nervousness, headache, arm stiffness or tightness, restlessness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
eye alignment disorder,"['cross-eyed', 'double vision', 'lack of growth', 'diminished vision', 'eye moves abnormally', 'pain in eye', 'symptoms of eye', 'irregular appearing scalp', 'eye deviation']","
    Eye alignment disorder is a condition that may present symptoms such as cross-eyed, double vision, lack of growth, diminished vision, eye moves abnormally, pain in eye, symptoms of eye, irregular appearing scalp, eye deviation.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
factitious disorder,"['depression', 'elbow weakness', 'depressive or psychotic symptoms', 'disturbance of memory']","
    Factitious disorder is a condition that may present symptoms such as depression, elbow weakness, depressive or psychotic symptoms, disturbance of memory.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
female genitalia infection,"['groin pain', 'vaginal pain', 'vulvar sore', 'vaginal discharge', 'vulvar irritation', 'skin lesion', 'skin swelling']","
    Female genitalia infection is a condition that may present symptoms such as groin pain, vaginal pain, vulvar sore, vaginal discharge, vulvar irritation, skin lesion, skin swelling.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
female infertility of unknown cause,"['long menstrual periods', 'infertility', 'unpredictable menstruation', 'pain during intercourse', 'scanty menstrual flow']","
    Female infertility of unknown cause is a condition that may present symptoms such as long menstrual periods, infertility, unpredictable menstruation, pain during intercourse, scanty menstrual flow.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
fetal alcohol syndrome,"['depressive or psychotic symptoms', 'emotional symptoms', 'excessive anger']","
    Fetal alcohol syndrome is a condition that may present symptoms such as depressive or psychotic symptoms, emotional symptoms, excessive anger.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
fibroadenoma,"['bones are painful', 'pain or soreness of breast', 'vaginal dryness', 'bleeding or discharge from nipple', 'lump or mass of breast', 'hot flashes']","
    Fibroadenoma is a condition that may present symptoms such as bones are painful, pain or soreness of breast, vaginal dryness, bleeding or discharge from nipple, lump or mass of breast, hot flashes.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
fibrocystic breast disease,"['bleeding or discharge from nipple', 'pain or soreness of breast', 'lump or mass of breast', 'intermenstrual bleeding']","
    Fibrocystic breast disease is a condition that may present symptoms such as bleeding or discharge from nipple, pain or soreness of breast, lump or mass of breast, intermenstrual bleeding.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
fibromyalgia,"['low back pain', 'sharp chest pain', 'neck pain', 'arm pain', 'muscle pain', 'ache all over', 'leg pain', 'headache', 'hip pain', 'back pain']","
    Fibromyalgia is a condition that may present symptoms such as low back pain, sharp chest pain, neck pain, arm pain, muscle pain, ache all over, leg pain, headache, hip pain, back pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
flat feet,"['knee pain', 'foot or toe pain', 'problems with movement', 'ankle pain', 'skin swelling']","
    Flat feet is a condition that may present symptoms such as knee pain, foot or toe pain, problems with movement, ankle pain, skin swelling.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
floaters,"['lacrimation', 'diminished vision', 'foreign body sensation in eye', 'spots or clouds in vision', 'symptoms of eye']","
    Floaters is a condition that may present symptoms such as lacrimation, diminished vision, foreign body sensation in eye, spots or clouds in vision, symptoms of eye.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
flu,"['cough', 'ache all over', 'nausea', 'sore throat', 'coryza', 'headache', 'chills', 'diarrhea', 'vomiting', 'fever']","
    Flu is a condition that may present symptoms such as cough, ache all over, nausea, sore throat, coryza, headache, chills, diarrhea, vomiting, fever.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
fluid overload,"['hand or finger swelling', 'sharp abdominal pain', 'sharp chest pain', 'shortness of breath', 'nausea', 'peripheral edema', 'fluid retention', 'vomiting']","
    Fluid overload is a condition that may present symptoms such as hand or finger swelling, sharp abdominal pain, sharp chest pain, shortness of breath, nausea, peripheral edema, fluid retention, vomiting.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
folate deficiency,"['sharp abdominal pain', 'vomiting blood', 'sharp chest pain', 'shortness of breath', 'difficulty breathing']","
    Folate deficiency is a condition that may present symptoms such as sharp abdominal pain, vomiting blood, sharp chest pain, shortness of breath, difficulty breathing.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
food allergy,"['hand or finger swelling', 'skin rash', 'nasal congestion', 'itching of skin', 'cough', 'abnormal appearing skin', 'vomiting', 'lip swelling', 'allergic reaction']","
    Food allergy is a condition that may present symptoms such as hand or finger swelling, skin rash, nasal congestion, itching of skin, cough, abnormal appearing skin, vomiting, lip swelling, allergic reaction.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
foreign body in the ear,"['throat feels tight', 'ear pain', 'fluid in ear', 'diminished hearing', 'bleeding from ear']","
    Foreign body in the ear is a condition that may present symptoms such as throat feels tight, ear pain, fluid in ear, diminished hearing, bleeding from ear.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
foreign body in the eye,"['eye burns or stings', 'eye redness', 'lacrimation', 'itchiness of eye', 'white discharge from eye', 'foreign body sensation in eye', 'pain in eye', 'symptoms of eye']","
    Foreign body in the eye is a condition that may present symptoms such as eye burns or stings, eye redness, lacrimation, itchiness of eye, white discharge from eye, foreign body sensation in eye, pain in eye, symptoms of eye.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
foreign body in the gastrointestinal tract,"['sharp abdominal pain', 'vomiting blood', 'vomiting', 'difficulty in swallowing', 'lump in throat', 'recent weight loss']","
    Foreign body in the gastrointestinal tract is a condition that may present symptoms such as sharp abdominal pain, vomiting blood, vomiting, difficulty in swallowing, lump in throat, recent weight loss.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
foreign body in the nose,"['nasal congestion', 'regurgitation.1']","
    Foreign body in the nose is a condition that may present symptoms such as nasal congestion, regurgitation.1.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
foreign body in the throat,"['cough', 'throat swelling', 'shortness of breath', 'infant spitting up', 'sore throat', 'vomiting', 'difficulty in swallowing']","
    Foreign body in the throat is a condition that may present symptoms such as cough, throat swelling, shortness of breath, infant spitting up, sore throat, vomiting, difficulty in swallowing.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
foreign body in the vagina,"['emotional symptoms', 'painful urination', 'vaginal discharge']","
    Foreign body in the vagina is a condition that may present symptoms such as emotional symptoms, painful urination, vaginal discharge.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
fracture of the ankle,"['foot or toe pain', 'knee weakness', 'ankle pain', 'foot or toe swelling', 'leg pain', 'ankle swelling', 'ankle weakness']","
    Fracture of the ankle is a condition that may present symptoms such as foot or toe pain, knee weakness, ankle pain, foot or toe swelling, leg pain, ankle swelling, ankle weakness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
fracture of the arm,"['elbow pain', 'shoulder stiffness or tightness', 'arm pain', 'wrist pain', 'wrist stiffness or tightness', 'arm swelling', 'arm stiffness or tightness', 'elbow swelling', 'wrist swelling', 'shoulder pain']","
    Fracture of the arm is a condition that may present symptoms such as elbow pain, shoulder stiffness or tightness, arm pain, wrist pain, wrist stiffness or tightness, arm swelling, arm stiffness or tightness, elbow swelling, wrist swelling, shoulder pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
fracture of the facial bones,"['swollen eye', 'double vision', 'facial pain', 'peripheral edema', 'pain in eye', 'redness in or around nose', 'headache', 'abusing alcohol', 'lip swelling']","
    Fracture of the facial bones is a condition that may present symptoms such as swollen eye, double vision, facial pain, peripheral edema, pain in eye, redness in or around nose, headache, abusing alcohol, lip swelling.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
fracture of the finger,"['hand or finger swelling', 'hand or finger pain', 'foot or toe pain', 'foot or toe swelling', 'hand or finger stiffness or tightness']","
    Fracture of the finger is a condition that may present symptoms such as hand or finger swelling, hand or finger pain, foot or toe pain, foot or toe swelling, hand or finger stiffness or tightness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
fracture of the foot,"['foot or toe pain', 'foot or toe weakness', 'foot or toe swelling', 'ankle pain', 'foot or toe stiffness or tightness', 'ankle swelling']","
    Fracture of the foot is a condition that may present symptoms such as foot or toe pain, foot or toe weakness, foot or toe swelling, ankle pain, foot or toe stiffness or tightness, ankle swelling.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
fracture of the hand,"['hand or finger swelling', 'hand or finger pain', 'arm pain', 'wrist pain', 'wrist stiffness or tightness', 'hand or finger stiffness or tightness', 'arm stiffness or tightness', 'wrist swelling']","
    Fracture of the hand is a condition that may present symptoms such as hand or finger swelling, hand or finger pain, arm pain, wrist pain, wrist stiffness or tightness, hand or finger stiffness or tightness, arm stiffness or tightness, wrist swelling.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
fracture of the jaw,"['bones are painful', 'facial pain', 'peripheral edema', 'pain in eye', 'mouth pain', 'jaw swelling']","
    Fracture of the jaw is a condition that may present symptoms such as bones are painful, facial pain, peripheral edema, pain in eye, mouth pain, jaw swelling.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
fracture of the leg,"['leg swelling', 'knee swelling', 'knee pain', 'problems with movement', 'knee weakness', 'ankle pain', 'leg pain', 'ankle swelling', 'hip pain', 'leg stiffness or tightness']","
    Fracture of the leg is a condition that may present symptoms such as leg swelling, knee swelling, knee pain, problems with movement, knee weakness, ankle pain, leg pain, ankle swelling, hip pain, leg stiffness or tightness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
